"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc"
"IL","Jackson",21.998406,0.80433,0.873642,9,31.5,0.100541,23.5,36613
"IL","Jasper",14.942661,0.415671,0.795895,10.2,30.2,0.103918,12,52608
"IL","Jefferson",22.01518,0.648778,0.873642,11.1,30.2,0.129756,16.7,46460
"IL","Jersey",15.652332,0.930397,0.873642,10.4,33,0.044305,11.4,53864
"IL","Jo Daviess",19.940556,1.79743,0.795895,13,29.5,0.044936,9.4,51201
"IL","Johnson",21.119297,0.476153,0.795895,10.5,29.4,0.079359,14.3,46838
"IL","Kane",18.488561,0.597376,0.838817,7.7,25.3,0.087236,10.8,70502
"IL","Kankakee",12.753009,0.601571,0.795895,9.1,30.1,0.089787,15.2,53227
"IL","Kendall",15.662829,0.461475,0.795895,8.3,33.7,0.115369,4.8,88773
"IL","Knox",17.970796,0.787417,0.795895,9.8,26.2,0.038411,17.2,43796
"IL","Lake",35.263837,0.68918,0.838817,8.4,28.4,0.158823,9,82160
"IL","LaSalle",20.708655,1.132676,0.795895,10.4,27.1,0.098884,12.9,52316
"IL","Lawrence",14.21911,0.726436,0.795895,11.7,28.9,0,17.7,43268
"IL","Lee",10.867493,0.921261,0.795895,10.1,32.6,0.086368,12.7,52581
"IL","Livingston",8.448002,0.84426,0.795895,9.5,29.2,0.079149,12.8,55474
"IL","Logan",36.444585,0.705977,0.795895,9.8,29.2,0.067236,13.7,58191
"IL","Macon",26.917151,0.756807,0.795895,10,29.7,0.083064,18.2,48302
"IL","Macoupin",16.11736,0.75345,0.873642,10.5,31,0.107636,13.7,50460
"IL","Madison",35.812553,0.772809,0.873642,10,32.3,0.15006,12.9,52969
"IL","Marion",27.256983,0.700008,0.873642,10.5,33.5,0.129631,18,43018
"IL","Marshall",18.519195,0.915598,0.795895,11.2,29.1,0.166472,10.6,53610
"IL","Mason",31.112337,0.791481,0.795895,11.1,31.7,0,13.9,43743
"IL","Massac",9.884216,0.469641,0.795895,11.2,30.7,0.067092,16.8,41548
"IL","McDonough",12.668105,0.909661,0.795895,9.3,26.8,0.094103,22.8,42453
"IL","McHenry",43.171214,0.699681,0.838817,10.1,27.7,0.12041,8.1,80513
"IL","McLean",27.419697,0.695159,0.795895,7,29.3,0.114902,11.7,65766
"IL","Menard",2.761661,0.636436,0.795895,10.2,28.3,0.159109,10.3,64706
"IL","Mercer",18.05793,0.752587,0.795895,11.4,31.2,0.125431,10.1,57934
"IL","Monroe",29.236566,0.859973,0.873642,11.4,33.2,0.118617,5,79686
"IL","Montgomery",23.670598,0.885589,0.873642,10.8,31.3,0.034061,16.6,46006
"IL","Morgan",32.304743,0.744367,0.795895,11.3,28.8,0.143148,14.8,45259
"IL","Moultrie",3.021705,0.606592,0.795895,10.2,28.6,0,8.6,58975
"IL","Ogle",17.587971,0.729577,0.795895,10.4,31.2,0.076798,10.4,57268
"IL","Peoria",25.503421,0.827465,0.795895,9.6,28.8,0.0694,15.6,53781
"IL","Perry",21.454203,0.830565,0.873642,10.6,29.1,0.046143,16.8,46598
"IL","Piatt",3.031813,0.669466,0.795895,10.7,29,0.121721,6.5,65122
"IL","Pike",18.442012,0.74897,0.795895,12,32.6,0.062414,15,45106
"IL","Pope",24.203466,0.467727,0.795895,10.9,29.5,0,18.1,41150
"IL","Pulaski",20.842937,0.343938,0.795895,12.1,27.3,0,24.7,35135
"IL","Putnam",10.920092,1.719986,0.795895,10.5,29.9,0.343997,8.8,60590
"IL","Randolph",11.458496,0.730171,0.873642,10.1,27.7,0.060848,14.3,50129
"IL","Richland",5.787275,0.435838,0.795895,11,28.8,0.186788,14.9,43332
"IL","Rock Island",17.69473,0.848949,0.795895,10.8,31.7,0.07531,13.2,50419
"IL","Saline",39.047789,0.650089,0.795895,12,30.1,0,23.2,40873
"IL","Sangamon",24.251412,0.899511,0.795895,10.7,28.5,0.12563,15.3,57591
"IL","Schuyler",14.145911,0.545703,0.795895,10.6,31.7,0,12.9,50720
"IL","Scott",4.16086,1.152959,0.873642,9.9,30.4,0,11.3,50474
"IL","Shelby",24.29915,0.816401,0.795895,10.1,30.6,0,11.6,49633
"IL","St. Clair",33.640781,0.620933,0.873642,12.7,33.2,0.101607,16.4,50416
"IL","Stark",30.020263,0.344056,0.795895,12.2,30.2,0,12.7,50083
"IL","Stephenson",7.44706,0.6676,0.795895,12.5,32.9,0.193819,13,46430
"IL","Tazewell",43.124299,0.758988,0.795895,9.6,30.6,0.132639,8.4,57747
"IL","Union",13.265029,0.687797,0.795895,11.9,28.2,0,15.3,44221
"IL","Vermilion",14.543292,0.627132,0.795895,12.7,35.4,0.100341,18.4,44705
"IL","Wabash",8.560871,0.519525,0.795895,12.6,32.2,0.259763,12.2,51224
"IL","Warren",6.649267,0.615419,0.795895,10.5,30.5,0.055947,14.3,46189
"IL","Washington",11.0623,0.557997,0.873642,10.5,28.6,0.139499,8.8,57019
"IL","Wayne",20.040455,0.846279,0.795895,10.3,29.2,0.120897,12.8,47995
"IL","White",29.236629,0.765271,0.795895,10.6,28.7,0.06957,14.9,46588
"IL","Whiteside",22.311514,0.861523,0.795895,10.5,28.7,0.017582,12.8,45463
"IL","Will",32.130504,0.47708,0.838817,8.5,28,0.094833,8,76293
"IL","Williamson",14.458378,0.701409,0.795895,10.5,31.6,0.134312,16.2,47678
"IL","Winnebago",25.848697,0.720866,0.795895,11.7,33.9,0.090108,14.7,50024
"IL","Woodford",11.730078,0.637967,0.795895,9.6,30.8,0.076556,7,68233
"IN","Adams",8.645049,0.603604,0.795895,13.9,32.8,0.086229,12.8,49251
"IN","Allen",30.361757,0.702343,0.795895,10.3,30.1,0.120246,14.6,50017
"IN","Bartholomew",27.303784,0.698106,0.769507,10.5,29.5,0.099729,11.9,55580
"IN","Benton",1.586147,0.229885,0.769507,12.1,32.6,0.114943,11.1,50754
"IN","Blackford",2.122044,0.483832,0.769507,13.7,36,0.080639,14.5,39611
"IN","Boone",11.917685,0.742954,0.769507,10.4,27.8,0.145361,6,75163
"IN","Brown",3.077083,0.802032,0.769507,12.6,30.6,0.066836,11.4,53801
"IN","Carroll",4.532992,0.652512,0.769507,13.4,26.9,0.100386,9.4,52550
"IN","Cass",4.017449,0.494303,0.769507,9.8,33.7,0.104064,13.1,45575
"IN","Clark",21.93506,0.638883,0.970305,12.4,33.3,0.087518,10.4,51614
"IN","Clay",3.977183,0.602364,0.769507,11.9,33.1,0,12.9,48947
"IN","Clinton",1.867995,0.488162,0.769507,12.5,30.9,0,11.9,50342
"IN","Crawford",14.56922,1.032379,0.970305,13,33,0,18.7,41331
"IN","Daviess",9.602526,0.488863,0.795895,12.9,37.6,0.061108,14.6,47019
"IN","Dearborn",26.385941,0.504989,0.86434,13.1,32.5,0.100998,8.9,64093
"IN","Decatur",15.273764,0.678631,0.769507,14.7,32.7,0.075403,13,51625
"IN","DeKalb",21.452786,0.75502,0.795895,10,32.8,0.117972,10.5,52382
"IN","Delaware",25.527485,0.597912,0.769507,12.5,31.5,0.111041,23,40633
"IN","Dubois",5.756479,0.991853,0.795895,10.3,29.5,0.141693,7.6,57336
"IN","Elkhart",20.406363,0.559486,0.795895,10.2,32.8,0.074268,14,50117
"IN","Fayette",21.428677,0.468723,0.769507,12.2,33,0.085222,16.2,42538
"IN","Floyd",29.459926,0.538206,0.970305,10.2,30.1,0.039381,11.3,57367
"IN","Fountain",18.703158,0.780406,0.769507,13.9,29.8,0,12.1,51108
"IN","Franklin",9.073077,0.610447,0.86434,11,26.2,0.174414,9.9,53263
"IN","Fulton",12.90522,0.97561,0.795895,11.4,37.8,0,11.7,51660
"IN","Gibson",3.860622,0.888652,0.795895,13.4,32.1,0.059243,11,53483
"IN","Grant",17.954378,0.525019,0.769507,14.8,37.3,0.058335,18,39984
"IN","Greene",11.941697,0.702805,0.769507,13.3,33.1,0.061114,14.7,47952
"IN","Hamilton",31.865302,0.697237,0.769507,8.6,25.9,0.191658,4.7,91844
"IN","Hancock",29.281211,0.402901,0.769507,12.4,34.8,0.055572,6,70277
"IN","Harrison",4.737208,0.381689,0.970305,12.8,36,0.025446,11.2,53719
"IN","Hendricks",27.185614,0.724099,0.769507,10,31.8,0.096119,5.5,73478
"IN","Henry",3.692387,0.367384,0.769507,13.4,36.7,0.102051,14.7,47954
"IN","Howard",26.849629,0.626642,0.769507,13.1,31.4,0.072305,16.9,47390
"IN","Huntington",22.210525,0.817305,0.795895,12.7,32.6,0.108974,10.9,49103
"IN","Jackson",15.625947,0.617778,0.970305,12.4,36.9,0.068642,12.1,45504
"IN","Jasper",9.130085,0.716953,0.795895,11.3,29.6,0.149365,9.3,60195
"IN","Jay",19.396885,0.613816,0.769507,15,34,0.094433,15.2,42646
"IN","Jefferson",16.590376,0.861698,0.970305,12.5,35,0.06155,13.4,47841
"IN","Jennings",28.045203,0.357143,0.769507,12.3,33,0.035714,13.1,46047
"IN","Johnson",28.661371,0.711681,0.769507,10.7,30.2,0.047445,8,68256
"IN","Knox",27.410403,0.896199,0.795895,11,32.3,0.079076,19.1,42818
"IN","Kosciusko",18.280114,0.814622,0.795895,10.4,33.2,0.089099,10,54147
"IN","LaGrange",0.159011,0.676449,0.795895,11.2,34.2,0.026017,8.6,56662
"IN","Lake",29.779743,0.60788,0.838817,12.2,33.9,0.065276,16.6,50613
"IN","LaPorte",25.457689,0.798607,0.795895,10.8,35,0.080758,15.7,47401
"IN","Lawrence",9.473857,0.393839,0.970305,15.1,38.2,0.153159,13.9,46890
"IN","Madison",26.107953,0.661188,0.769507,12.2,33.4,0.08457,16.7,45065
"IN","Marion",24.243015,0.737495,0.769507,10.5,32.4,0.092053,20.6,41407
"IN","Marshall",15.174028,0.61562,0.795895,11.1,30.8,0.042457,10.6,49714
"IN","Martin",2.668389,0.882094,0.769507,15.6,35.8,0,13.8,47717
"IN","Miami",19.750419,0.528453,0.769507,11.6,35.7,0.027813,14.8,46968
"IN","Monroe",14.569891,0.851129,0.769507,7.7,22.1,0.083718,23.5,45341
"IN","Montgomery",14.455731,0.524301,0.769507,11.8,32.7,0.026215,12.3,49425
"IN","Morgan",14.565229,0.444808,0.769507,14,33.2,0.043046,11.4,58376
"IN","Newton",15.915712,0.777056,0.795895,11.6,35.3,0.141283,12.2,48316
"IN","Noble",5.723952,0.504011,0.795895,11.8,31.8,0.021,9.8,51876
"IN","Orange",10.417079,0.713339,0.970305,11.6,35.4,0,15.7,40918
"IN","Owen",0.797207,0.333826,0.769507,14.1,34,0.047689,15.8,43731
"IN","Parke",12.398924,0.464226,0.769507,12.5,33.6,0.058028,17.2,43637
"IN","Perry",30.903574,0.822453,0.795895,12.6,32.8,0.102807,13.2,47192
"IN","Pike",7.711308,0.554499,0.795895,12.6,36.4,0.079214,11.1,47324
"IN","Porter",31.888741,0.70028,0.838817,9.4,31.9,0.08978,11.6,66070
"IN","Posey",22.023241,0.626468,0.795895,12.7,29.1,0.078309,9.7,58298
"IN","Pulaski",2.64687,0.616951,0.795895,12.2,31.5,0,14.2,47455
"IN","Putnam",4.740978,0.398745,0.769507,10,31.5,0,13.6,53910
"IN","Randolph",14.348281,0.827293,0.769507,14.2,35.6,0.118185,18,41315
"IN","Ripley",2.546397,0.701828,0.86434,13.7,32.7,0.140366,10.6,51553
"IN","Rush",3.28047,0.651196,0.769507,14,32.6,0.177599,13.9,48970
"IN","Scott",3.436512,0.421727,0.970305,12.7,29.5,0.084345,15.6,43104
"IN","Shelby",13.38798,0.672963,0.769507,11.4,33.1,0.044864,11.9,54639
"IN","Spencer",0.010002,0.192298,0.795895,10.8,30.5,0.048075,9.4,56451
"IN","St. Joseph",31.24739,0.691284,0.795895,9.9,30,0.115837,16.7,46881
"IN","Starke",5.582464,0.520066,0.795895,13.6,36.1,0,14.8,48106
"IN","Steuben",18.775261,1.195057,0.795895,10.4,33.7,0.058295,10.1,53191
"IN","Sullivan",4.854096,0.712589,0.769507,13,32.9,0,16.4,44939
"IN","Switzerland",4.594596,0.574053,0.86434,13.4,32,0,15.9,46344
"IN","Tippecanoe",18.667461,0.710095,0.769507,6.9,26.4,0.109245,18.9,50170
"IN","Tipton",11.790543,0.389231,0.769507,10.8,31.1,0,8.7,56292
"IN","Vanderburgh",19.969117,0.758217,0.795895,11.9,33.3,0.098898,17.2,43823
"IN","Vermillion",12.780686,0.637227,0.769507,14.3,33.1,0.063723,12.9,44376
"IN","Vigo",33.934886,0.850474,0.769507,11.5,32.8,0.110931,20.4,39635
"IN","Wabash",10.471594,0.651122,0.769507,13.9,31.6,0.062012,12,48223
"IN","Warren",4.737309,0.359195,0.769507,12.2,32.1,0,10.2,57768
"IN","Warrick",29.641717,0.457898,0.795895,10.9,29.4,0.114474,7.5,66461
"IN","Washington",9.600849,0.502188,0.970305,10.9,30.6,0.035871,14.4,43498
"IN","Wayne",14.502531,0.827533,0.769507,11.5,29.6,0.073887,18,41849
"IN","Wells",9.204469,0.61015,0.795895,11.8,28.4,0.035891,9.5,55987
"IN","White",15.679802,0.85879,0.769507,14.5,34.7,0,10.9,50370
"IN","Whitley",5.070132,0.688561,0.795895,10.6,32,0.089812,7.9,56142
"KS","Allen",39.960508,0.697188,0.948594,10.9,34.2,0,18.9,41604
"KS","Anderson",22.318243,1.014842,0.873642,9.8,33.3,0,14,47267
"KS","Atchison",16.016592,0.7267,0.873642,8.7,33.1,0.181675,16.6,46110
"KS","Barber",11.201789,1.021033,0.948594,9.1,36.7,0.204207,11.1,54176
"KS","Barton",23.024857,0.839876,0.948594,9.5,35.4,0.182582,14.4,50558
"KS","Bourbon",20.796498,0.744652,0.948594,13,33.9,0,18.2,39609
"KS","Brown",8.067383,1.120734,0.948594,11.7,29.6,0.101885,14.9,46884
"KS","Butler",26.360034,0.483187,0.948594,9.9,31.9,0.045299,10.6,61473
"KS","Chase",93.743605,1.114413,0.948594,11.9,28.3,0,12.7,48911
"KS","Chautauqua",36.639345,1.436369,1.053402,12.6,34.1,0.287274,16.8,42324
"KS","Cherokee",12.404159,0.721605,0.948594,12.2,37,0.048107,18,39842
"KS","Cheyenne",9.556638,1.485332,0.948594,13.7,33.5,0,12.3,44111
"KS","Clark",100,1.399254,0.948594,11.8,31.2,0,12,50392
"KS","Clay",26.486718,1.322592,0.948594,14.1,36.2,0,11.1,51351
"KS","Cloud",33.779533,0.852424,0.948594,12.6,29.9,0.106553,12.8,42730
"KS","Coffey",38.848354,0.948654,0.873642,9.9,30.5,0,9.9,57160
"KS","Comanche",17.820662,1.535312,0.948594,11.1,33.6,0,11.4,43809
"KS","Cowley",31.452377,0.528321,0.948594,11.2,36,0,15.3,47851
"KS","Crawford",29.628436,0.967167,0.948594,11.5,33,0.050903,19.1,38139
"KS","Decatur",27.869652,0.687758,0.948594,12.5,36.1,0,12.3,43919
"KS","Dickinson",8.056199,0.773435,0.948594,11,31.9,0,12.2,47570
"KS","Doniphan",61.50697,0.635001,0.873642,9.7,32.1,0.254001,13.2,47000
"KS","Douglas",13.644773,0.892053,0.873642,6.5,24.2,0.137239,19.4,52447
"KS","Edwards",15.999346,0.990099,0.948594,10.6,32.9,0,10.6,46380
"KS","Elk",99.357011,2.227171,0.948594,12.4,32.5,0,17.6,39147
"KS","Ellis",14.43307,0.965085,0.948594,8.9,31.6,0.103402,12,49192
"KS","Ellsworth",30.502884,0.938673,0.948594,11.7,33.3,0,10.6,49986
"KS","Finney",19.415732,0.699225,0.948594,9.5,35.2,0.026893,14.6,53245
"KS","Ford",20.940837,0.804713,0.948594,8.7,30.6,0.086219,13.2,47915
"KS","Franklin",47.044038,0.81996,0.873642,8.9,33.8,0.039046,11.7,51484
"KS","Geary",36.725712,0.626481,0.948594,7.9,32.7,0.027238,11.9,45590
"KS","Gove",41.510505,1.10011,0.948594,11.9,30.2,0.366703,9.9,46580
"KS","Graham",21.624179,0.779423,0.948594,11.1,28.9,0,12.2,45018
"KS","Grant",9.484501,0.767656,0.948594,7.8,35.6,0,10.2,59218
"KS","Gray",45.417975,0.493259,0.948594,9.3,36,0,8.3,64284
"KS","Greeley",100,0,0.948594,10.7,32.6,0,11.4,44667
"KS","Greenwood",46.444835,1.106195,0.948594,12.8,32.7,0,15.8,41168
"KS","Hamilton",100,0.768344,0.948594,8.9,37.1,0,13.1,50056
"KS","Harper",25.951205,1.203163,0.948594,11,34.2,0,13.7,46869
"KS","Harvey",14.640006,0.545663,0.948594,10.3,31,0.028719,9.4,55470
"KS","Haskell",100,1.21773,0.948594,9.8,33.9,0,11.2,59356
"KS","Hodgeman",31.924524,0.521921,0.948594,13.7,32,0,9.6,54513
"KS","Jackson",13.367244,0.812468,0.873642,10.4,33.4,0.073861,11.3,51662
"KS","Jefferson",0.856351,0.477327,0.873642,10,29.9,0,9.1,59080
"KS","Jewell",26.844853,0.985869,0.948594,13,29.6,0,13.5,43201
"KS","Johnson",17.299234,0.778377,0.873642,7.5,24.8,0.163686,5.5,83007
"KS","Kearny",100,0.766284,0.948594,9.8,28.7,0,11.5,59134
"KS","Kingman",33.956738,0.519615,0.948594,13.5,32.2,0,11.5,52907
"KS","Kiowa",99.654339,0.397931,0.948594,10.3,32.8,0,12.6,46381
"KS","Labette",19.532841,0.906489,0.948594,11.3,34,0,18.2,42323
"KS","Lane",22.285076,0.592768,0.948594,11.8,30.8,0,9.6,57388
"KS","Leavenworth",30.871125,0.431489,0.873642,10.3,32.8,0.063454,10.7,61465
"KS","Lincoln",31.509131,0.947269,0.948594,10.4,31.2,0,12.5,42277
"KS","Linn",13.994334,0.631446,0.873642,12,31.6,0,14,46065
"KS","Logan",18.235102,1.789549,0.948594,13.5,31.1,0.35791,9.4,48399
"KS","Lyon",17.146556,0.903288,0.948594,10.4,34.7,0.060219,17.5,39562
"KS","Marion",22.843429,1.064875,0.948594,9.4,30.9,0,10.9,51196
"KS","Marshall",13.893921,0.89946,0.948594,9.5,32.6,0.09994,10.7,49270
"KS","McPherson",25.666846,0.683971,0.948594,9.5,29.2,0.136794,7.6,61356
"KS","Meade",50.716301,1.147579,0.948594,9.5,27,0,9.5,56325
"KS","Miami",7.642323,0.700749,0.873642,11,34.1,0.091402,8.8,62375
"KS","Mitchell",20.221975,1.11394,0.948594,12.4,32.1,0.318269,10.5,48310
"KS","Montgomery",23.90301,0.733891,1.053402,14.3,35.1,0.146778,19.9,43289
"KS","Morris",32.959461,1.053001,0.948594,12.3,35.1,0.1755,10.8,49720
"KS","Morton",26.13532,0.643087,0.948594,11.1,31.9,0,10.3,53443
"KS","Nemaha",13.906594,1.281041,0.948594,8.9,30.4,0,8.8,54486
"KS","Neosho",6.426941,0.79191,0.948594,12.2,33.5,0.060916,18.9,40744
"KS","Ness",26.823895,0.966184,0.948594,10.8,31.1,0,9.4,53456
"KS","Norton",35.423527,0.719424,0.948594,10.7,32.4,0,12.7,45096
"KS","Osage",12.521076,0.815763,0.873642,11.5,37.1,0,12.7,48364
"KS","Osborne",23.11451,0.532481,0.948594,12.1,33.2,0,13.1,43518
"KS","Ottawa",28.495841,0.824402,0.948594,12.1,37.9,0,10,50302
"KS","Pawnee",16.925732,0.578369,0.948594,12.8,30.3,0,14.5,47359
"KS","Phillips",35.351942,1.084403,0.948594,11.2,28.8,0.180734,11.1,46984
"KS","Pottawatomie",2.672781,0.655108,0.873642,10.5,31.3,0.131022,8.1,60601
"KS","Pratt",23.156453,1.218274,0.948594,11.7,33.8,0.203046,10.8,52634
"KS","Rawlins",28.386961,0.773994,0.948594,12.3,32.3,0,11.7,47448
"KS","Reno",23.812282,0.501615,0.948594,11.9,35.7,0.062702,13.1,47178
"KS","Republic",25.592458,0.832813,0.948594,10.8,30.9,0.208203,11.2,44593
"KS","Rice",18.747991,0.698952,0.948594,11.3,32.6,0,13.8,52400
"KS","Riley",42.481573,0.638349,0.948594,5.6,23.8,0.066495,23.4,46690
"KS","Rooks",14.480045,1.163919,0.948594,10.5,32.8,0,11.7,45309
"KS","Rush",21.15093,1.251173,0.948594,11.2,32.6,0,11.5,43895
"KS","Russell",24.858226,0.575043,0.948594,11.6,30.4,0,13.2,42625
"KS","Saline",18.741456,0.520133,0.948594,11.3,35.1,0.089678,14.3,47052
"KS","Scott",11.543692,1.181102,0.948594,9.7,32.1,0.19685,7.7,56267
"KS","Sedgwick",27.218301,0.693785,0.948594,10.8,31.4,0.082547,15.2,50995
"KS","Seward",5.358191,0.724483,0.948594,8.3,38.6,0.042617,15,45807
"KS","Shawnee",24.355489,0.538098,0.873642,10.7,32.9,0.095288,14.2,51316
"KS","Sheridan",32.086935,0.787712,0.948594,11.8,31.5,0,10.9,51221
"KS","Sherman",71.584547,1.309329,0.948594,9.4,29.9,0.163666,16.5,42491
"KS","Smith",37.370193,1.061289,0.948594,10.6,34.1,0,12.2,43872
"KS","Stafford",30.520408,1.396323,0.948594,11.9,32.5,0,12.8,47129
"KS","Stanton",10.542213,0.947418,0.948594,11.1,31.3,0,10.9,55341
"KS","Stevens",16.524348,1.206689,0.948594,10,34.8,0,11.3,59735
"KS","Sumner",29.017395,0.850051,0.948594,11.1,31.1,0,11.7,51451
"KS","Thomas",47.030829,0.76036,0.948594,8.7,35,0,10.9,50574
"KS","Trego",7.159333,1.37836,0.948594,11.1,29.7,0,10.4,48576
"KS","Wabaunsee",41.782495,0.569638,0.873642,9.7,30.9,0.284819,8.3,57339
"KS","Wallace",100,0,0.948594,11.7,33.1,0,12.4,48426
"KS","Washington",50.167778,1.429082,0.948594,12.7,30.7,0,10.7,46153
"KS","Wichita",100,1.378676,0.948594,10.8,29.4,0,10.9,52917
"KS","Wilson",12.185973,1.107665,0.948594,13.6,32.9,0,15.6,41461
"KS","Woodson",18.540356,1.267026,0.948594,11.7,33.4,0,19.5,37394
"KS","Wyandotte",26.573259,0.501126,0.873642,11.9,36.2,0.03712,21.9,41746
"KY","Adair",9.259422,0.572797,0.970305,15.1,34.3,0,27.2,32007
"KY","Allen",0.973506,0.294349,0.970305,13.7,33.9,0,19.8,42287
"KY","Anderson",21.357716,0.365497,0.970305,12.2,34.6,0,10.7,55523
"KY","Ballard",5.048865,0.849515,1.136671,13.2,34.2,0,15.1,44352
"KY","Barren",7.211022,0.834338,0.970305,13.4,31,0.046352,19.3,40017
"KY","Bath",0.119968,0.327708,0.86434,14.1,30.4,0,24.9,35143
"KY","Bell",17.393688,0.395997,1.136671,14.6,37.9,0.107999,44.7,23968
"KY","Boone",34.991938,0.806879,0.86434,11.9,32.5,0.102838,8.2,68804
"KY","Bourbon",15.723267,0.600841,0.86434,13.8,34.1,0,14.8,46370
"KY","Boyd",21.565509,0.593873,1.136671,15.7,38.5,0.061435,20.5,43406
"KY","Boyle",27.309541,0.673265,0.970305,11.2,32.2,0.168316,17.2,40459
"KY","Bracken",0.563984,0.713776,0.86434,14.6,32.4,0,15.7,44846
"KY","Breathitt",14.902823,0.298307,0.970305,15.7,41.6,0,32.9,28196
"KY","Breckinridge",9.023192,0.452534,0.970305,14.8,36.6,0.050282,19,42347
"KY","Bullitt",32.625748,0.256558,0.970305,13.2,32.8,0.089795,9.6,54755
"KY","Butler",8.125409,0.31068,0.970305,14.1,33.2,0,21.6,39545
"KY","Caldwell",11.006803,0.785855,1.136671,12.6,35,0,18.8,39355
"KY","Calloway",14.770365,1.044877,1.136671,10.3,30.1,0.026122,21.1,40585
"KY","Campbell",30.395132,0.8167,0.86434,10.9,31.6,0.119783,14.4,51694
"KY","Carlisle",2.262358,0.602652,1.136671,13.1,33.4,0,14.8,43144
"KY","Carroll",37.832754,0.647249,0.86434,12.5,35.3,0,17.6,46499
"KY","Carter",5.515168,0.514271,1.136671,14.3,38.9,0.073467,19.7,37204
"KY","Casey",4.409284,0.377572,0.970305,14.4,36.4,0.062929,25.1,33576
"KY","Christian",25.607782,0.430976,0.970305,10.8,36.5,0.080808,20.3,39840
"KY","Clark",10.306662,0.391521,0.970305,12.4,30.6,0.027966,15.4,54812
"KY","Clay",9.155988,0.283728,1.136671,14.1,38,0,46.8,24001
"KY","Clinton",0.104138,0.590261,0.970305,12.7,34.9,0.098377,26.4,29178
"KY","Crittenden",2.894907,0.325239,1.136671,13.9,33.8,0,19.2,40202
"KY","Cumberland",1.612949,0.593032,0.970305,13.6,31.8,0,24.8,30989
"KY","Daviess",16.481658,0.68176,1.136671,11.3,30.4,0.111931,14.9,48724
"KY","Edmonson",2.522695,0.499459,0.970305,16.1,31.2,0,20,38673
"KY","Elliott",0.057716,0.130344,1.136671,13.2,33.7,0,34.4,30299
"KY","Estill",9.143203,0.415311,0.970305,14.6,35.1,0,28.2,32541
"KY","Fayette",15.869256,0.888039,0.970305,9,27.3,0.154442,19.1,51963
"KY","Fleming",5.843893,0.137504,0.86434,13.5,34.5,0.068752,20,47030
"KY","Floyd",4.944934,0.367377,1.136671,13.4,37.6,0,29.5,30888
"KY","Franklin",14.822176,0.681636,0.970305,13.4,33.2,0.080192,13.7,50471
"KY","Fulton",0.105518,0.957702,1.136671,14.6,32,0,30.4,30798
"KY","Garrard",0.722523,0.415233,0.970305,12.8,30.5,0,17,45018
"KY","Grant",18.261907,0.522613,0.86434,12.7,36.3,0.040201,16.4,45307
"KY","Graves",9.626166,0.664575,1.136671,10.7,30.1,0.079749,16.3,39515
"KY","Grayson",22.672293,0.34359,0.970305,14.7,36.5,0.076353,22.9,37057
"KY","Green",11.143534,0.271665,0.970305,13.3,38.1,0,20.5,36226
"KY","Greenup",23.444385,0.220337,1.136671,14.4,39.8,0.027542,16.8,45690
"KY","Hancock",3.168115,0.114247,1.136671,13.9,34.5,0,13.8,52929
"KY","Hardin",27.419544,0.600373,0.970305,11.6,32.9,0.101602,15,49637
"KY","Harlan",19.536204,0.213045,1.136671,16.9,36.5,0.035508,35.5,27425
"KY","Harrison",5.034656,0.537866,0.86434,13.1,30.1,0.053787,16.2,47040
"KY","Hart",9.363406,0.376405,0.970305,13.1,37.1,0.107544,22,34764
"KY","Henderson",9.694356,0.602578,1.136671,14,32.6,0.064562,17,45718
"KY","Henry",2.08199,0.385307,0.970305,11.4,31.6,0,17.7,47802
"KY","Hickman",0,0,1.136671,14.1,35.2,0,17.6,40890
"KY","Hopkins",23.23101,0.582198,0.970305,13.3,35,0.021563,18.4,44750
"KY","Jackson",0.176731,0.07525,0.970305,13.7,37.5,0,31.2,30565
"KY","Jefferson",16.123213,0.747343,0.970305,11.9,31.6,0.101312,15.4,51230
"KY","Jessamine",15.863406,0.551018,0.970305,9.3,31.5,0.118075,18.3,49839
"KY","Johnson",16.756701,0.472874,1.136671,15.3,37.2,0.042989,25.9,36051
"KY","Kenton",31.079311,0.689323,0.86434,10.8,28.5,0.134204,12.8,52631
"KY","Knott",0.847773,0.125849,0.970305,16.1,40.2,0,33.8,30138
"KY","Knox",8.59214,0.345934,1.136671,16.2,39.3,0.031448,32,28578
"KY","Larue",1.34681,0.352609,0.970305,13.7,33.6,0.141044,18.1,40202
"KY","Laurel",9.355611,0.499875,1.136671,14.2,37.8,0.016663,23,37737
"KY","Lawrence",15.790588,0.316376,1.136671,17.7,42.2,0,25,36276
"KY","Lee",0.023152,0.263366,0.970305,16,33.9,0,34.7,26201
"KY","Leslie",3.101928,0.183184,1.136671,16,43.2,0,33.7,28722
"KY","Lewis",1.157949,0.216138,1.136671,14.6,38.3,0,24.7,33867
"KY","Lincoln",17.620751,0.204541,0.970305,12.3,30.8,0.040908,21.2,37220
"KY","Livingston",14.968922,0.534245,1.136671,12.3,29.7,0,15.3,44551
"KY","Logan",15.204915,0.669967,0.970305,11.8,35.2,0,15.5,43795
"KY","Lyon",3.129171,0.830368,1.136671,14.3,33.3,0,16.9,48189
"KY","Madison",22.015933,0.515228,0.970305,10.5,32.2,0.091596,18.2,46342
"KY","Magoffin",1.73801,0.154883,1.136671,13.4,33.7,0,32.6,29921
