"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc"
"AR","Carroll",7.080344,1.838235,1.095938,13,35.8,0.036044,16.6,37587
"AR","Chicot",60.302717,0.178891,1.053402,15.2,43.1,0,31.4,29968
"AR","Clark",40.979516,0.487243,1.053402,11.6,34.3,0.08859,22.5,37856
"AR","Clay",10.23272,0.529171,0.970305,11.1,33.7,0.066146,20.8,35324
"AR","Cleburne",9.017299,0.936257,1.053402,13.5,31.8,0.039011,15.6,43913
"AR","Cleveland",21.163389,0.118357,1.053402,13,35.7,0,18.1,44123
"AR","Columbia",17.256724,0.334266,1.095938,12.9,36.4,0.083567,23.8,38057
"AR","Conway",16.703968,0.569179,1.053402,13.7,39.7,0.047432,17.8,43702
"AR","Craighead",16.54366,0.682807,0.970305,13.1,36.4,0.078035,17.3,42460
"AR","Crawford",16.924479,0.486247,1.053402,11.4,35.1,0.081041,14.4,46545
"AR","Crittenden",12.724217,0.403649,0.970305,15.8,38.8,0.040365,25.9,37371
"AR","Cross",13.335718,0.406339,0.970305,13.6,37.9,0.058048,21.5,39132
"AR","Dallas",41.323983,0.773694,1.053402,14.4,36.2,0,21.3,33352
"AR","Desha",35.0513,0.896934,1.053402,15.1,39.6,0,30.9,30987
"AR","Drew",21.554132,0.698099,1.053402,13.6,34.3,0,21.2,39339
"AR","Faulkner",16.698206,0.579624,1.053402,11.2,33.2,0.041402,14.8,51157
"AR","Franklin",6.51125,0.730132,1.053402,13.8,37.1,0,18.2,41933
"AR","Fulton",19.137777,0.329897,1.095938,15.6,32.9,0.082474,19.4,34717
"AR","Garland",28.241265,1.027517,1.053402,14.5,32.3,0.051376,19.3,37723
"AR","Grant",11.869872,0.496032,1.053402,11.1,38.3,0.055115,13.2,47652
"AR","Greene",22.857355,0.503502,0.970305,12.9,31.2,0.091546,17.1,43996
"AR","Hempstead",29.109783,0.582255,1.095938,13.5,40.3,0.044789,24.1,34560
"AR","Hot Spring",15.690953,0.269719,1.053402,12.2,34.7,0.029969,20.8,39851
"AR","Howard",41.168218,0.592593,1.095938,13.4,35.7,0.074074,18.7,33199
"AR","Independence",15.180713,0.730539,1.053402,13.1,37.2,0.027057,18,38241
"AR","Izard",1.10122,0.519057,1.053402,15.5,33.9,0,19.8,35355
"AR","Jackson",17.268795,0.456256,1.053402,12.9,37.2,0.057032,27.5,32571
"AR","Jefferson",18.830479,0.442619,1.053402,15.4,40.7,0.013832,26.5,36990
"AR","Johnson",5.88389,0.422996,1.053402,12.5,36.4,0.038454,21.8,35877
"AR","Lafayette",21.137195,0.140627,1.095938,15.3,36.3,0,22.7,33864
"AR","Lawrence",29.990272,0.649696,0.970305,13.2,31.8,0,23.7,34808
"AR","Lee",45.302452,0.10142,0.970305,13.1,35.7,0,35.9,28481
"AR","Lincoln",33.212731,0.429492,1.053402,12.3,37.5,0.071582,25.1,40216
"AR","Little River",14.538669,0.239387,1.095938,12.9,32.7,0,19.9,39265
"AR","Logan",9.260254,0.409873,1.053402,13.8,37.5,0,20.5,37924
"AR","Lonoke",17.959637,0.433221,1.053402,13.1,35.8,0.02795,11.9,56240
"AR","Madison",24.263527,0.698856,1.095938,11.8,34,0,18.8,41007
"AR","Marion",13.543366,0.672084,1.095938,12.2,31.7,0,18.8,34946
"AR","Miller",33.428914,0.506586,1.095938,12.3,35.9,0.046053,22.3,39005
"AR","Mississippi",12.613939,0.542557,0.970305,15.9,39.8,0.045213,26.3,34888
"AR","Monroe",12.519912,0.659457,1.053402,17.2,37.5,0,30.9,30801
"AR","Montgomery",22.22866,0.660647,1.053402,14.3,33.8,0,21.8,37813
"AR","Nevada",29.253,0.229279,1.053402,13.9,36,0,24,35914
