"state","county","loaccgro","fasfoo","diab","obesrate","fitplace","medinc","clusterNum"
"AK","Aleutians West",0.223562137764379,0.0250434717996522,0.143564356435644,0.770949720670391,0,0.561142069394016,1
"AK","Anchorage",0.274272077257279,0.0552539515579684,0.183168316831683,0.424581005586592,0.165629012802055,0.532949536920179,1
"AK","Fairbanks North Star",0.344456236555438,0.0471029036231768,0.108910891089109,0.455307262569832,0.134625860928441,0.465866066054405,1
"AK","Haines",0.206895587931044,0.168355438653156,0.227722772277228,0.38268156424581,0,0.339611284779527,1
"AK","Juneau",0.321748126782519,0.0644325114845399,0.128712871287129,0.46927374301676,0.337714988910074,0.582470924023843,1
"AK","Kenai Peninsula",0.196548468034515,0.0964559512283524,0.193069306930693,0.463687150837989,0.211563436320479,0.379890491816011,1
"AK","Ketchikan Gateway",0.0788453592115464,0.0626677194986582,0.277227722772277,0.53072625698324,0.264596871473598,0.411820670640545,1
"AK","Kodiak Island",0.143368098566319,0.0566280715469754,0.163366336633663,0.513966480446927,0,0.43318835795973,1
"AK","Matanuska-Susitna",0.25856795741432,0.0367789677057683,0.242574257425743,0.513966480446927,0.074538406163664,0.521396811836204,1
"AK","Petersburg",0.0472426095275739,0,0.188118811881188,0.522346368715084,0,0.390307360736268,1
"AK","Sitka",0.183791208162088,0.0647190714822474,0.168316831683168,0.472067039106145,0.136629829954473,0.442479078888608,1
"AK","Skagway",0.0030991299690087,0,0.153465346534653,0.455307262569832,0,0.417296079840009,1
"AK","Valdez-Cordova",0.51999904480001,0.113827967089376,0.202970297029703,0.519553072625698,0.256324419238103,0.458293691629614,1
"AK","Wrangell",0.215544287844557,0,0.277227722772277,0.525139664804469,0,0.306836494961459,1
"AL","Baldwin",0.167674888323251,0.0795158633638731,0.351485148514852,0.435754189944134,0.151916173781081,0.286323126808147,1
"AL","Madison",0.264459737355403,0.0464517356283861,0.405940594059406,0.572625698324022,0.170095383088836,0.351659126652816,1
"AL","Shelby",0.241547617584524,0.0459897116320823,0.267326732673267,0.511173184357542,0.158874129343554,0.465846649709726,1
"AR","Benton",0.156080128439199,0.0454603676363171,0.311881188118812,0.511173184357542,0.125453568232227,0.363085645496379,1
"AR","Saline",0.223242577767574,0.0242656558058748,0.420792079207921,0.578212290502793,0.126098048562201,0.330388521057026,1
"AR","Washington",0.145490718545093,0.0629370714965034,0.287128712871287,0.525139664804469,0.137686534495506,0.228375046113819,1
"AR","White",0.122631428773686,0.0421416716628666,0.336633663366337,0.684357541899441,0.154722703218024,0.19041609226647,1
"AZ","Coconino",0.308252086917479,0.0847169273222646,0.212871287128713,0.318435754189944,0.0794875286976147,0.282129196357494,1
"AZ","Maricopa",0.133927138660729,0.0419965916640273,0.282178217821782,0.379888268156425,0.0955022568971555,0.321563792400443,1
"AZ","Pima",0.222880727771193,0.04666125562671,0.272277227722772,0.346368715083799,0.141632456515818,0.235063976855717,1
"CA","Alameda",0.0714867692851323,0.0695453034436376,0.257425742574257,0.229050279329609,0.111717625199424,0.568588237578393,1
"CA","Amador",0.140134268598657,0.0783843833729249,0.341584158415842,0.38268156424581,0.132382339779758,0.320224064617595,1
"CA","Calaveras",0.100448938995511,0.0613123195095014,0.331683168316832,0.326815642458101,0.10899986380793,0.287138613284663,1
"CA","Colusa",0.0826828191731718,0.0504225355966197,0.311881188118812,0.379888268156425,0.0567714210669676,0.274003456109353,1
"CA","Contra Costa",0.191010108089899,0.0487195916102433,0.301980198019802,0.368715083798883,0.138960903147982,0.583868900840728,1
"CA","El Dorado",0.291097087089029,0.068426495452588,0.207920792079208,0.245810055865922,0.13283347601074,0.511436227015902,1
"CA","Fresno",0.0918742290812577,0.038087999695296,0.301980198019802,0.41340782122905,0.061682847581618,0.230219598858319,1
"CA","Glenn",0.0902417890975821,0.0386335436909316,0.252475247524753,0.416201117318436,0,0.200862085703745,1
"CA","Humboldt",0.156725668432743,0.0715679274274566,0.272277227722772,0.38268156424581,0.171383127748161,0.173242335397938,1
"CA","Imperial",0.175421818245782,0.031358375749133,0.247524752475248,0.405027932960894,0.0814781217167983,0.165339883113605,1
"CA","Kern",0.145417688545823,0.0360581037115352,0.297029702970297,0.516759776536313,0.0583959978987509,0.274314117624216,1
"CA","Kings",0.192685068073149,0.0215613358275093,0.207920792079208,0.407821229050279,0.056644957002218,0.228588625905287,1
"CA","Los Angeles",0.0634128193658718,0.0556616155547071,0.287128712871287,0.268156424581006,0.101566452002023,0.350960138244374,1
"CA","Madera",0.208642497913575,0.0246913918024689,0.227722772277228,0.410614525139665,0.0550763161990739,0.230073976273227,1
"CA","Marin",0.119601818803982,0.0867037673063698,0.227722772277228,0.198324022346369,0.307789213588077,0.747276857658777,1
"CA","Mariposa",0.174994068250059,0.0529351915765185,0.366336633663366,0.35195530726257,0.137540614420795,0.210677047938955,1
"CA","Mendocino",0.173661488263385,0.0909535672723715,0.252475247524753,0.29608938547486,0.193742947196389,0.197493349901947,1
"CA","Merced",0.156679348433207,0.0248692318010461,0.292079207920792,0.494413407821229,0.0730463733997432,0.194017824204415,1
"CA","Monterey",0.123231588767684,0.0624281035005752,0.212871287128713,0.293296089385475,0.0676582746410366,0.360687726928528,1
"CA","Napa",0.101402178985978,0.0726774474185804,0.252475247524753,0.332402234636872,0.214587629868866,0.483360192610139,1
"CA","Nevada",0.270339767296602,0.0669814554641484,0.217821782178218,0.259776536312849,0.221330353321141,0.337193949866998,1
"CA","Orange",0.0651016693489833,0.0617793835057649,0.232673267326733,0.220670391061453,0.137623302463131,0.534997961283809,1
