"state","county","loaccgro","fasfoo","diab","obesrate","fitplace","medinc","obesrateLevel","clusterNum"
"AL","Barbour",0.221055597789444,0.0401680796786554,0.747524752475247,0.910614525139665,0,0.0828980836067802,"high",3
"AL","Bibb",0.0423032395769676,0.0159957358720341,0.569306930693069,0.79608938547486,0.0540305556636445,0.173514164223443,"high",3
"AL","Blount",0.064973799350262,0.0187113598503091,0.534653465346535,0.636871508379888,0.0632028483598584,0.267877599363144,"low",3
"AL","Bullock",0.379503416204966,0.00668894394648845,0.806930693069307,0.871508379888268,0,0.0520066792225696,"high",3
"AL","Butler",0.0622680493773195,0.0354749757162002,0.712871287128713,0.684357541899441,0.0599135666757461,0.106537483253403,"low",3
"AL","Calhoun",0.234338517656615,0.0478277276173782,0.574257425742574,0.569832402234637,0.0734330615977275,0.186367784400909,"low",3
"AL","Chambers",0.208432137915679,0.0338068077295455,0.648514851485148,0.779329608938548,0,0.122963710851795,"high",3
"AL","Cherokee",0.0039833199601668,0.0304182717566538,0.495049504950495,0.608938547486034,0.0467029359119032,0.157757800516475,"low",3
"AL","Chilton",0.0336800696631993,0.0295007757639938,0.495049504950495,0.673184357541899,0.0553596443441379,0.192930508902394,"low",3
"AL","Choctaw",0.195028148049719,0.0270209517838324,0.732673267326733,0.810055865921788,0,0.118391161679902,"high",3
"AL","Clarke",0.221148387788516,0.043295255653638,0.643564356435644,0.737430167597765,0.146242314876065,0.140020969652253,"high",3
"AL","Clay",0.0461341495386585,0.0318772077449823,0.559405940594059,0.712290502793296,0,0.155466671844359,"high",3
"AL","Cleburne",0.0527341094726589,0.00954907192360742,0.46039603960396,0.508379888268156,0.0806366492859644,0.186804652156185,"low",3
"AL","Coffee",0.209940057900599,0.0396000716831994,0.623762376237624,0.611731843575419,0.0955436009183237,0.232646641943188,"low",3
"AL","Colbert",0.203859527961405,0.050162255598702,0.762376237623762,0.717877094972067,0.133766148488268,0.177436265848591,"high",3
"AL","Conecuh",0.269002067309979,0.0227308318181533,0.698019801980198,0.687150837988827,0,0.0688018173698619,"low",3
"AL","Coosa",0.245162517548375,0,0.693069306930693,0.779329608938548,0,0.127992544123643,"high",3
"AL","Covington",0.0998046390019536,0.0341826477265388,0.564356435643564,0.620111731843575,0.0962172652632398,0.130681707861678,"low",3
"AL","Crenshaw",0.379617896203821,0.0309079437527364,0.653465346534653,0.779329608938548,0,0.134603809486826,"high",3
"AL","Cullman",0.0733809692661903,0.0425149916598801,0.54950495049505,0.603351955307263,0.0448765029767695,0.159175193678038,"low",3
"AL","Dale",0.279337127206629,0.043650503650796,0.534653465346535,0.689944134078212,0.0491470971633138,0.217463060404248,"low",3
"AL","Dallas",0.174350908256491,0.0258924237928606,0.777227722772277,0.810055865921788,0.0583060138526791,0.0658990738403588,"high",3
"AL","DeKalb",0.0376865496231345,0.0314078397487373,0.5,0.519553072625698,0.0513334662827347,0.13990447158418,"low",3
"AL","Elmore",0.189959608100404,0.0337873677297011,0.5,0.659217877094972,0.0600667827541928,0.297594314894278,"low",3
"AL","Escambia",0.132017418679826,0.038162879694697,0.717821782178218,0.723463687150838,0.0644528969998833,0.135390171446324,"high",3
"AL","Etowah",0.223018547769815,0.0396403196828774,0.668316831683168,0.650837988826816,0.10570693412195,0.18689202570724,"low",3
"AL","Fayette",0.0236289497637105,0.0384022796927818,0.584158415841584,0.611731843575419,0,0.137768673669495,"low",3
"AL","Franklin",0.115551398844486,0.0364545357083637,0.524752475247525,0.597765363128492,0.115439803105179,0.151845523561734,"low",3
"AL","Geneva",0.0225902697740973,0.0296495997628032,0.524752475247525,0.622905027932961,0,0.130040968487273,"low",3
"AL","Greene",0.327583306724167,0.0168361918653105,0.876237623762376,0.963687150837989,0,0.0243092635380463,"high",3
"AL","Hale",0.118308458816915,0.0189673198482614,0.628712871287129,0.798882681564246,0.0800845850033075,0.122089975341242,"high",3
"AL","Henry",0.0465537195344628,0.0460733036314136,0.762376237623762,0.670391061452514,0,0.190348135060094,"low",3
"AL","Houston",0.180613398193866,0.0532089355743285,0.514851485148515,0.58659217877095,0.0816945698276198,0.200706754946314,"low",3
"AL","Jackson",0.0792636592073634,0.0341783277265734,0.574257425742574,0.564245810055866,0,0.1680193386793,"low",3
"AL","Lamar",0.0157891098421089,0.0511145995910832,0.574257425742574,0.608938547486034,0,0.132283556297691,"low",3
"AL","Lauderdale",0.134572658654273,0.0541376635668987,0.53960396039604,0.589385474860335,0.11755564418849,0.195270178436208,"low",3
"AL","Lawrence",0.0479991895200081,0.0365623917075009,0.608910891089109,0.662011173184358,0.0726463091949103,0.183261169252277,"low",3
"AL","Limestone",0.112819468871805,0.0309295437525636,0.46039603960396,0.589385474860335,0.0803642651465037,0.312273071471565,"low",3
"AL","Lowndes",0.224786647752134,0.0136105918911153,1,0.930167597765363,0.114933946846181,0.079830301147506,"high",3
"AL","Macon",0.375292706247073,0.00741311994069504,0.747524752475247,0.918994413407822,0,0.0643457662660428,"high",3
"AL","Marengo",0.243734507562655,0.0322228077422175,0.836633663366337,0.79608938547486,0.0604668469590256,0.121303613381745,"high",3
"AL","Marion",0.0626927393730726,0.047570255619438,0.762376237623762,0.662011173184358,0.0803411611346745,0.117303846377881,"low",3
"AL","Marshall",0.112716738872833,0.0456485756348114,0.47029702970297,0.597765363128492,0.0513966983151095,0.171883191270411,"low",3
"AL","Mobile",0.251260657487393,0.0376370636989035,0.608910891089109,0.706703910614525,0.0878779329935017,0.190629672057938,"high",3
"AL","Monroe",0.247600167523998,0.0328062957375496,0.717821782178218,0.656424581005587,0.0554058523677964,0.119109566433023,"low",3
"AL","Morgan",0.129837468701625,0.0403320956773432,0.46039603960396,0.553072625698324,0.0914991828475816,0.236296914742831,"low",3
"AL","Perry",0.0832357191676428,0.04396499964828,0.910891089108911,0.871508379888268,0,0.0322699648564161,"high",3
