"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc","males","totpop","area"
"KY","Monroe",3.478096,0.653961,0.970305,13.3,29.9,0,25.3,31603,12941,26499,197.37
"KY","Montgomery",11.388872,0.400379,0.86434,13.3,32.2,0.109194,21.5,42468,7889,13923,381.13
"KY","Morgan",15.398078,0.225513,1.136671,14.7,35.5,0,31.3,31489,15909,31499,467.08
"KY","Muhlenberg",5.060642,0.54475,0.970305,12.4,37.8,0.032044,19.4,40272,21368,43437,417.51
"KY","Nelson",12.81395,0.513255,0.970305,11.3,32.4,0.133893,12.5,51843,3546,7135,195.17
"KY","Nicholas",0.521797,0.710126,0.86434,12.5,32.5,0,21.5,37267,11912,23842,587.27
"KY","Ohio",17.415283,0.50048,0.970305,16,37.2,0.041707,19.9,40661,31737,60316,187.22
"KY","Oldham",40.203402,0.330761,0.970305,10.3,28,0.031501,6.2,84415,5385,10841,351.1
"KY","Owen",10.156579,0.281822,0.86434,11.4,30,0,16.9,43686,2356,4755,197.41
"KY","Owsley",0.701891,0,0.970305,13.1,33.6,0,42.4,23341,7446,14877,277.16
"KY","Pendleton",0.781372,0.344994,0.86434,15,32.4,0,16.4,49345,14206,28712,339.67
"KY","Perry",2.442596,0.688481,1.136671,14.5,37,0,28.5,31740,31867,65024,786.83
"KY","Pike",1.511326,0.396611,1.136671,16.1,38.9,0.015865,25,34315,6270,12613,178.98
"KY","Powell",3.065555,0.241274,0.970305,13.4,36.3,0,26,34510,30781,63063,658.41
"KY","Pulaski",17.501057,0.532707,0.970305,13.4,33.6,0.078339,23,40702,1147,2282,99.91
"KY","Robertson",70.677839,0,0.86434,13.7,34.6,0,22.5,40027,8378,17056,316.55
"KY","Rockcastle",1.608586,0.475455,0.970305,13.2,36,0,22.9,33293,11342,23333,279.8
"KY","Rowan",8.572555,0.422744,0.970305,11.1,34.4,0.084549,27.2,36597,8595,17565,253.66
"KY","Russell",1.019684,0.731405,0.970305,12.2,34.6,0.056262,24.6,31968,23254,47173,281.77
"KY","Scott",27.778161,0.623976,0.970305,10.6,29.4,0.058498,13.1,63775,20243,42074,379.64
"KY","Shelby",10.619807,0.512535,0.970305,11.6,33,0.044568,11.5,60189,8472,17327,234.2
"KY","Simpson",13.081766,0.673174,0.970305,11.6,35.4,0.168294,16,45496,8659,17061,186.68
"KY","Taylor",16.741471,0.435523,0.970305,14,35.4,0.079186,23,35700,6152,12460,374.5
"KY","Todd",0.475524,0.399361,0.970305,12.2,33.7,0,19.3,40963,7039,14339,441.43
"KY","Trigg",12.913642,0.565691,0.970305,13.8,33.4,0,15.1,45106,4483,8809,151.65
"KY","Trimble",5.848667,0.113817,0.970305,12.8,34,0,15.7,48392,7670,15007,342.85
"KY","Union",6.467556,0.659413,1.136671,11.6,30.7,0.065941,20.7,45239,55696,113792,541.6
"KY","Warren",12.523116,0.763739,0.970305,9.2,31.6,0.099618,18,45964,5736,11717,297.27
"KY","Washington",17.248648,0.250857,0.970305,13.2,32.9,0,17.1,45143,10295,20813,458.17
"KY","Wayne",12.458316,0.341697,0.970305,14.2,37.1,0,28,29826,6765,13621,331.94
"KY","Webster",3.180913,0.528861,1.136671,13.9,35.6,0.075552,18.1,44245,17328,35637,437.83
"KY","Whitley",12.614856,0.506999,1.136671,13.5,36.3,0.028167,29.2,31903,3608,7355,222.17
"KY","Wolfe",1.695333,0.277239,0.970305,12.6,32.3,0.138619,30.7,27196,11969,24939,188.78
"KY","Woodford",34.064895,0.782381,0.970305,12.4,29.5,0.039119,11.6,57862,30161,61773,655.12
"LA","Acadia",1.759924,0.320072,1.095938,12.9,33.1,0.096022,23.7,42033,14490,25764,761.85
"LA","Allen",27.939275,0.350018,1.095938,11.2,34.4,0.038891,20.4,42120,52947,107215,289.98
"LA","Ascension",31.464569,0.36743,1.01769,11,31.3,0.153808,10.7,74852,11456,23421,338.66
"LA","Assumption",38.873138,0.173656,1.01769,14.4,34.8,0.043414,16.8,48516,21097,42073,832.43
"LA","Avoyelles",18.980048,0.267347,1.095938,14.2,37,0.048609,25.3,34803,18170,35654,1157.34
"LA","Beauregard",35.236077,0.303884,1.095938,12.6,35.8,0.055252,19.5,48206,6921,14353,811.27
"LA","Bienville",28.798552,0.432121,1.095938,14,38.2,0,25.4,34565,57511,116979,840.06
"LA","Bossier",22.495166,0.639672,1.095938,12,34.7,0.079959,14.5,55403,121191,254969,878.54
"LA","Caddo",32.523719,0.534435,1.095938,12,34.3,0.106887,22.2,41081,94038,192768,1063.66
"LA","Calcasieu",21.799368,0.446238,1.095938,11.6,32.3,0.070992,17.5,46523,5188,10132,529.43
"LA","Caldwell",9.489005,0.404285,1.095938,12.1,36.3,0.101071,22.9,38564,3395,6839,1284.89
"LA","Cameron",25.548611,0.149723,1.095938,11.7,31.5,0,12.7,56259,5505,10407,708.03
"LA","Catahoula",23.905753,0.197025,1.095938,11,35.3,0,27.2,33958,9611,17195,754.88
"LA","Claiborne",11.844618,0.243724,1.095938,12,37,0,30.9,33740,10474,20822,696.92
"LA","Concordia",27.309531,0.439754,1.095938,14.5,38.3,0.048862,29.5,33068,12862,26656,875.58
"LA","De Soto",23.98104,0.442119,1.095938,14.1,38.9,0.11053,24.9,41691,211488,440171,455.37
"LA","East Baton Rouge",26.240431,0.645679,1.01769,11.6,32.9,0.152452,18.5,50389,4154,7759,420.7
"LA","East Carroll",20.133116,0.400695,1.095938,16.3,42.1,0,43.5,26325,10898,20267,453.41
"LA","East Feliciana",10.348382,0.151416,1.01769,17.2,42.1,0.050472,21.8,43105,17115,33984,662.38
"LA","Evangeline",26.321147,0.267062,1.095938,12.3,41.9,0.029674,25.7,33407,10072,20767,624.59
"LA","Franklin",10.068285,0.244606,1.095938,13.5,38,0.048921,25.4,33845,12491,22309,643.03
"LA","Grant",19.491093,0,1.095938,12,33.8,0,21.3,43437,35756,73240,574.11
"LA","Iberia",19.2953,0.311177,1.01769,12.9,36.1,0.094706,20.8,45039,17020,33387,618.63
"LA","Iberville",15.969494,0.390074,1.01769,12.7,39.7,0,22.3,42000,8273,16274,569.18
"LA","Jackson",22.945667,0.250094,1.095938,13.6,34.8,0.125047,21.1,41029,210008,432552,295.63
"LA","Jefferson",11.934682,0.794095,1.01769,11.6,35.4,0.117049,16.3,49503,15467,31594,651.33
"LA","Jefferson Davis",7.077426,0.285923,1.095938,13.2,36.3,0.127077,20.3,43677,7665,14890,624.68
"LA","La Salle",14.835013,0.20217,1.095938,12.6,33.2,0.06739,18.5,46258,108156,221578,268.72
"LA","Lafayette",22.920432,0.836007,1.01769,10.1,31.1,0.148529,17,52411,47324,96318,1068.21
"LA","Lafourche",25.984185,0.397878,1.01769,10.9,36.9,0.112222,14.1,53482,22820,46735,471.74
"LA","Lincoln",31.782113,0.609026,1.095938,10.2,37.3,0.084004,25.5,38118,63372,128026,648.17
"LA","Livingston",15.407888,0.324123,1.01769,12.4,34.4,0.058931,13.5,58774,5986,12093,624.44
"LA","Madison",9.76968,0.337752,1.095938,11.1,41.8,0,37.6,27225,13397,27979,794.93
"LA","Morehouse",24.398722,0.261584,1.095938,16,39.4,0.037369,31.1,31777,18861,39566,1252.25
"LA","Natchitoches",27.791462,0.663841,1.095938,13,34.7,0.076597,29.6,33786,166248,343829,169.42
"LA","Orleans",16.799191,1.235949,1.01769,11.9,31.9,0.09107,24,38640,73530,153720,610.41
"LA","Ouachita",30.150975,0.652487,1.095938,11.8,35.7,0.076763,23,38453,11558,23042,779.91
"LA","Plaquemines",28.033969,0.810338,1.01769,10.6,33.5,0.213247,17.3,49122,11061,22802,557.35
"LA","Pointe Coupee",12.294681,0.446309,1.01769,11.5,35.3,0,19.3,42919,63481,131613,1317.96
"LA","Rapides",34.536622,0.467967,1.095938,13.2,35.7,0.083026,21.6,42758,4350,9091,389.09
"LA","Red River",22.452119,0.346061,1.095938,13,40.3,0,25.7,41742,9984,20725,559.04
"LA","Richland",11.224735,0.385728,1.095938,13.8,37.1,0.096432,24.7,34588,12009,24233,866.66
"LA","Sabine",26.201217,0.247944,1.095938,14.8,39.1,0,18.1,42196,18162,35897,377.52
"LA","St. Bernard",46.21215,0.675539,1.01769,13.8,35.5,0.067554,20.4,41540,26085,52780,279.08
"LA","St. Charles",57.772701,0.417101,1.01769,11.3,35.9,0.151673,11.8,61601,5521,11203,408.4
"LA","St. Helena",5.916009,0.188342,1.01769,15.8,40.6,0,19.9,36602,10812,22102,241.54
"LA","St. James",25.3573,0.36972,1.01769,14.6,37,0.138645,18.3,52258,22341,45924,213.07
"LA","St. John the Baptist",40.202397,0.297177,1.01769,14.4,35.8,0.02286,20.5,50596,39876,83384,923.88
"LA","St. Landry",16.280301,0.238923,1.01769,13.9,39.6,0.107515,27,33503,25697,52160,737.65
"LA","St. Martin",4.094633,0.468911,1.01769,10.7,34.2,0.037513,18.3,45435,26992,54650,555.38
"LA","St. Mary",33.376923,0.545502,1.01769,15,38,0.056431,19.7,40945,113973,233740,845.55
"LA","St. Tammany",26.712942,0.866456,1.01769,9.6,27.8,0.142375,12.5,63499,58800,121097,791.28
"LA","Tangipahoa",26.167193,0.629678,1.01769,11.9,39.1,0.07871,24,41768,2493,5252,602.78
"LA","Tensas",24.447625,0.621118,1.095938,16.3,34.8,0,35.1,27077,55568,111860,1231.82
"LA","Terrebonne",29.886612,0.6265,1.01769,11.7,39.5,0.097063,20.1,44450,11214,22721,876.99
"LA","Union",17.187153,0.17747,1.095938,15.6,34.4,0.044367,21.9,38741,28214,57999,1173.2
"LA","Vermilion",6.283253,0.385802,1.095938,10.9,31.2,0.067096,18.1,46807,26784,52334,1327.91
"LA","Vernon",52.072512,0.306913,1.095938,12.3,36.6,0.019182,17.5,44733,23360,47168,669.53
"LA","Washington",10.628535,0.324072,1.01769,15,37.4,0.021605,26.2,33453,20041,41207,593.03
"LA","Webster",26.764989,0.396697,1.095938,12.9,35.8,0,25.9,34566,11698,23788,192.39
"LA","West Baton Rouge",19.064944,0.558102,1.01769,14.2,40.2,0.079729,15.1,55074,5818,11604,359.65
"LA","West Carroll",4.866955,0,1.095938,15.5,36,0.086768,22.7,35484,10251,15625,403.21
"LA","West Feliciana",42.087981,0.519278,1.01769,12.2,34.5,0,23.9,56680,8031,15313,950.09
"LA","Winn",26.970575,0.339144,1.095938,12.5,37.7,0,24,36173,102854,215888,393.72
"MA","Barnstable",48.379442,1.986841,1.084805,8.6,19.9,0.223345,7.6,65735,63169,131219,926.83
"MA","Berkshire",24.321984,1.670357,0.869175,9.7,23.7,0.108767,14.3,50646,265516,548285,553.1
"MA","Bristol",28.955995,0.84447,1.084805,11.1,28.3,0.138941,12.6,59839,8184,16535,103.25
"MA","Dukes",7.1206,3.457018,1.084805,8,22,0.403319,8.5,64456,356615,743159,492.56
"MA","Essex",29.959103,0.807447,1.084805,10.3,25.5,0.152128,11.5,68237,34810,71372,699.32
"MA","Franklin",15.492427,0.917276,1.163639,8.3,21,0.127007,11.8,57325,222669,463490,617.14
"MA","Hampden",22.289413,0.715566,1.163639,11.1,27.5,0.085441,17.1,51415,73975,158080,527.26
"MA","Hampshire",38.655972,1.043874,1.163639,6.8,18.9,0.118057,15.3,60853,730864,1503085,817.82
"MA","Middlesex",24.825819,0.82977,1.084805,8.3,22.6,0.206328,7.6,90025,5205,10172,44.97
"MA","Nantucket",10.422783,4.974208,1.084805,8.1,20,0.276345,7.3,86014,321087,670850,396.11
"MA","Norfolk",31.694543,0.868178,1.084805,8.6,20.5,0.189237,7.1,93187,240715,494919,659.08
"MA","Plymouth",40.820126,0.808643,1.084805,10.7,27.8,0.167646,9.7,74736,347689,722023,58.15
"MA","Suffolk",0.750733,1.196475,1.084805,7.5,21.3,0.143368,19.8,56530,393276,798552,1510.77
"MA","Worcester",28.365209,0.705615,1.084805,9.7,27,0.129076,12.1,65621,38842,75087,424.16
"MD","Allegany",34.132178,0.671675,1.16363,12.8,32.3,0.095954,20,39859,265763,537656,414.9
"MD","Anne Arundel",35.390215,0.690907,1.191763,9.3,29.1,0.137467,6,90825,380409,805029,598.3
"MD","Baltimore",17.541434,0.505487,1.191763,10.4,28.8,0.13786,9.1,68317,292249,620961,80.94
"MD","Baltimore",2.20905,0.582858,1.191763,12.3,33.7,0.070649,22.7,43192,43713,88737,213.15
"MD","Calvert",36.090497,0.618013,1.16363,9.1,29.7,0.044144,5.9,98937,16123,33066,319.42
"MD","Caroline",5.261696,0.338066,1.191763,11.9,35,0.061467,14.4,51294,82510,167134,447.6
"MD","Carroll",24.043206,0.601799,1.191763,9.5,27.9,0.125127,6.2,84506,50301,101108,346.27
"MD","Cecil",22.501753,0.5665,1.191763,11.2,33.7,0.058604,10,68972,70810,146551,457.75
"MD","Charles",29.489778,0.432965,1.16363,11.4,36,0.064622,7.1,87941,15571,32618,540.77
"MD","Dorchester",16.234627,0.736693,1.191763,15.5,35.7,0.061391,18.1,44664,114806,233385,660.22
"MD","Frederick",23.918934,0.656612,1.16363,9,29.1,0.135426,7.4,83746,14949,30097,647.1
"MD","Garrett",3.258578,0.943428,0.869175,12.2,30.6,0.067388,13.6,46469,119693,244826,437.09
"MD","Harford",21.747322,0.483797,1.191763,9.4,27.9,0.103956,7.8,77992,140593,287085,250.74
"MD","Howard",18.709718,0.57229,1.191763,7.5,21.7,0.148731,5.2,110224,9640,20197,277.03
"MD","Kent",0.014977,1.36226,1.191763,9.9,28.1,0.100908,14.8,52274,466402,971777,491.25
"MD","Montgomery",18.66532,0.608474,1.16363,7.6,20.1,0.148479,7.5,98314,414161,863420,482.69
"MD","Prince George's",23.225294,0.326172,1.16363,11.8,33.4,0.07408,9.5,76366,23743,47798,371.91
"MD","Queen Anne's",23.324889,0.614704,1.191763,9.9,28.9,0.08196,7.2,83914,14136,26470,319.72
"MD","Somerset",22.740419,0.30937,1.16363,13.7,42.2,0.038671,25.8,38692,52321,105151,357.18
"MD","St. Mary's",18.635029,0.534507,1.16363,11,32,0.063416,8.7,83148,18019,37782,268.54
"MD","Talbot",11.066863,1.567356,1.191763,11.4,29.3,0.185958,10.4,62018,74877,147430,457.78
"MD","Washington",24.809014,0.615084,1.16363,12.8,33.8,0.100285,12,55270,47087,98733,374.44
"MD","Wicomico",26.746998,0.669693,1.16363,12.3,35.9,0.088636,14.7,52153,25044,51454,468.28
"MD","Worcester",20.722263,3.386551,1.16363,13.6,29.4,0.212869,11.3,53366,52716,107702,467.93
"ME","Androscoggin",12.050216,0.716679,1.128062,11.2,33.2,0.093075,15,48930,35387,71870,6671.33
"ME","Aroostook",11.052902,0.849569,1.128062,13.3,34.1,0.057598,18.4,37104,136684,281674,835.24
"ME","Cumberland",21.204097,1.344698,1.128062,7.9,22.7,0.159835,10.7,63191,15053,30768,1696.61
"ME","Franklin",2.533421,1.353314,1.128062,9.4,30.2,0.066015,14.6,42859,26641,54418,1586.89
"ME","Hancock",4.075238,1.992833,1.128062,8.5,24.3,0.109697,11.5,48601,59529,122151,867.52
"ME","Kennebec",7.102191,0.792655,1.128062,10.8,30.9,0.099082,13.1,50408,19663,39736,365.13
"ME","Knox",15.98065,1.663474,1.128062,7.5,23.1,0.151225,11.4,47489,16899,34457,455.82
"ME","Lincoln",3.999611,1.521803,1.128062,9,24.6,0.175593,14.1,50152,28692,57833,2076.84
"ME","Oxford",6.607502,0.908487,1.128062,10.9,31.4,0.034942,17,42674,75853,153923,3397.36
"ME","Penobscot",12.442524,0.769161,1.128062,10.5,30.3,0.071701,17.1,44647,8694,17535,3960.86
"ME","Piscataquis",4.432931,1.233408,1.128062,12.3,33.3,0.176201,19.1,36463,17088,35293,253.7
"ME","Sagadahoc",8.838949,0.827507,1.128062,9.4,25.1,0.142674,11.2,55645,25890,52228,3924.4
"ME","Somerset",15.251259,0.625452,1.128062,11.5,35,0.039091,18.7,40165,19003,38786,729.92
"ME","Waldo",7.037049,0.921871,1.128062,9.8,28.3,0.051215,14.4,43198,16188,32856,2562.66
"ME","Washington",11.514105,0.880282,1.128062,11.4,28.5,0.062877,18.8,35576,96076,197131,990.71
"ME","York",15.152002,1.220667,1.128062,9.7,27.6,0.119576,8.3,61340,5555,10942,674.59
"MI","Alcona",10.989637,0.956572,0.795895,14,31.1,0,15.8,37618,5224,9601,915.07
"MI","Alger",34.798633,1.268633,0.795895,11,29.8,0,14.6,43341,55473,111408,825.23
"MI","Allegan",4.063116,0.702697,0.769507,10.3,30.2,0.035135,11.2,55611,14524,29598,571.86
"MI","Alpena",6.180749,0.93142,0.795895,11.4,32.1,0.103491,16.2,40665,11674,23580,475.7
"MI","Antrim",0.138932,1.031504,0.795895,12.9,32.2,0,14.2,49118,8056,15899,363.19
"MI","Arenac",28.820894,0.716472,0.795895,14.6,34,0.065134,20.1,37120,4863,8860,898.26
"MI","Baraga",16.39164,0.693321,0.795895,11,32.5,0,17.3,42389,29705,59173,553.09
"MI","Barry",2.797819,0.590408,0.769507,9.6,31.2,0.033738,9.3,57665,52751,107771,442.3
"MI","Bay",21.976451,0.574502,0.795895,11.3,35.4,0.065926,14.5,46256,8701,17525,319.7
"MI","Berrien",25.671142,0.927638,0.795895,12.5,34.8,0.083745,17.1,46588,23840,45248,506.37
"MI","Branch",3.507916,0.665978,0.769507,10,31.8,0.091859,14.9,47146,66519,136146,706.23
"MI","Calhoun",23.146484,0.600543,0.769507,12.5,33.9,0.088969,16.1,43864,26094,52293,490.06
"MI","Cass",8.169239,0.561928,0.795895,12.2,35.3,0.038754,14.8,49889,12778,25949,416.34
"MI","Charlevoix",5.472644,1.454768,0.795895,10,28.6,0.191417,11.6,48267,13015,26152,715.26
"MI","Cheboygan",10.800639,1.518987,0.795895,12.1,33.2,0.038948,17.6,41036,21220,38520,1558.42
"MI","Chippewa",20.27438,0.991623,0.795895,12.1,34.6,0.052191,19.7,42473,15440,30926,564.32
"MI","Clare",2.660949,0.717735,0.795895,11.9,33.8,0.065249,24.7,33250,37057,75382,566.41
"MI","Clinton",22.297408,0.413988,0.769507,10.6,31.6,0.064686,10,65051,7062,14074,556.28
"MI","Crawford",18.713441,0.800291,0.795895,11.1,30.4,0.072754,17.2,40907,18367,37069,1171.1
"MI","Delta",25.759935,0.738532,0.795895,12.3,32.1,0.191471,14.8,43020,12876,26168,761.4
"MI","Dickinson",32.574662,0.80903,0.795895,12.7,30.1,0.231152,12.3,47616,52595,107759,575.18
"MI","Eaton",26.869554,0.653902,0.769507,11.4,35.7,0.055259,10.9,56760,16102,32694,467.49
"MI","Emmet",11.623916,1.716661,0.795895,9.2,29.8,0.210818,11,49774,205271,425790,636.98
"MI","Genesee",31.556385,0.571574,0.769507,12.2,33,0.058126,20.5,44181,12839,25692,501.78
"MI","Gladwin",1.109152,0.865767,0.795895,13.8,34.7,0.039353,19.8,40746,8760,16427,1101.85
"MI","Gogebic",12.534047,1.652157,0.795895,11.4,31.3,0.127089,18.6,38416,42952,86986,464.33
"MI","Grand Traverse",18.551182,1.024432,0.795895,9,26.8,0.099139,8.5,54874,22599,42476,568.46
"MI","Gratiot",27.869922,0.432017,0.795895,9.9,33.6,0.024001,16.5,42800,23170,46688,598.13
"MI","Hillsdale",6.849003,0.676413,0.769507,11,32,0.065459,16.6,46786,19823,36628,1009.1
"MI","Houghton",10.791496,1.150843,0.795895,9.7,30.7,0.082203,17.4,41775,16438,33118,835.71
"MI","Huron",25.981733,1.216279,0.795895,10.8,31.5,0.062373,11.7,45917,136594,280895,556.12
"MI","Ingham",29.195177,0.748466,0.769507,9.2,30.4,0.08082,21,47470,34314,63905,571.3
"MI","Ionia",8.701251,0.528821,0.769507,10.3,38,0.031107,14.2,51013,12767,25887,549.1
"MI","Iosco",21.850854,1.140834,0.795895,12.9,33.2,0.039339,16.1,39874,5821,11817,1166.15
"MI","Iron",11.069344,1.229472,0.795895,13,29.1,0.087819,14.6,36570,34216,70311,572.68
"MI","Isabella",7.031061,0.637249,0.795895,8.5,30.9,0.056644,26.1,41957,81710,160248,701.67
"MI","Jackson",24.526799,0.588453,0.769507,11.3,33.7,0.087642,16.2,50683,122569,250331,561.66
"MI","Kalamazoo",26.729687,0.734107,0.769507,7.8,30.6,0.115912,16,52252,8717,17153,559.87
"MI","Kalkaska",6.112063,0.804875,0.795895,13,31.6,0,16.5,42829,295102,602622,846.95
"MI","Kent",21.082201,0.649994,0.769507,9.2,28.7,0.109657,14.5,54550,1107,2156,540.11
"MI","Keweenaw",29.013469,2.70636,0.795895,12.6,30.9,0,13.4,40862,5898,11539,567.37
"MI","Lake",16.029738,1.146283,0.795895,13,32,0,24.8,32971,44535,88319,643.01
"MI","Lapeer",9.262139,0.555852,0.769507,10.7,30.3,0.05672,10,57774,10703,21708,347.17
"MI","Leelanau",2.332918,1.688341,0.795895,12.7,26.6,0.091262,7.9,61397,50458,99892,749.56
"MI","Lenawee",19.793317,0.656254,0.769507,11.2,30.8,0.090866,14.3,49013,90527,180967,565.25
"MI","Livingston",31.294114,0.554969,0.769507,9,29.6,0.107761,6.5,76934,3827,6631,899.08
"MI","Luce",11.994309,1.244942,0.795895,12,32.6,0,19.6,41870,5612,11113,1021.57
"MI","Mackinac",30.2471,2.898026,0.795895,13.1,31.1,0,16.1,40091,408712,840978,479.22
"MI","Macomb",22.62966,0.705722,0.769507,9.9,33.3,0.079059,11.7,54939,12806,24733,542.15
"MI","Manistee",10.023848,0.900901,0.795895,11.1,34.6,0,15,41811,33894,67077,1808.4
"MI","Marquette",15.384653,0.797919,0.795895,10.1,29.2,0.147763,15,48108,14168,28705,495.07
"MI","Mason",6.333576,1.075493,0.795895,11.3,29.9,0.034693,16.8,43620,21487,42798,555.07
"MI","Mecosta",17.758197,0.625203,0.769507,10.2,35,0.046311,21.3,41755,12084,24029,1044.08
"MI","Menominee",40.810071,1.096399,0.795895,10.7,34.4,0.210846,16.9,42591,41048,83629,516.25
"MI","Midland",20.088399,0.563367,0.795895,9.5,30.5,0.143838,11.5,59248,7557,14849,564.73
"MI","Missaukee",4.470002,0.465518,0.795895,11.7,32.2,0.066503,17.5,42836,75013,152021,549.39
"MI","Monroe",18.656149,0.53396,0.769507,11.1,33.8,0.073419,10.6,56161,32747,63342,705.4
"MI","Montcalm",7.532787,0.540601,0.769507,11.2,34,0.0954,17.9,41728,4924,9765,546.66
"MI","Montmorency",3.858501,1.612903,0.795895,12.5,28.9,0,18.2,37153,85451,172188,499.25
"MI","Muskegon",36.053773,0.59184,0.769507,12.4,35.8,0.046419,16.1,46709,24390,48460,813.2
"MI","Newaygo",5.72912,0.563674,0.769507,10.6,34,0.020877,16.3,45086,583384,1202362,867.66
"MI","Oakland",29.948918,0.859542,0.769507,9.3,26.3,0.1236,9.3,70150,13344,26570,512.07
"MI","Oceana",3.668702,0.762747,0.769507,13,34.8,0.038137,17.2,43211,10814,21699,563.49
"MI","Ogemaw",0.051519,1.045677,0.795895,13.6,35.6,0.047531,19.4,37057,3496,6780,1311.23
"MI","Ontonagon",32.604849,1.458198,0.795895,13.3,33,0,14.6,37508,11719,23528,566.39
"MI","Osceola",15.690496,0.561095,0.795895,11.4,34.2,0.043161,18.7,41782,4355,8640,565.73
"MI","Oscoda",1.601777,1.07514,0.795895,13,33.5,0.11946,20.5,36724,11893,24164,514.97
"MI","Otsego",13.399958,0.952066,0.795895,11,33.3,0.124182,12.1,50420,129136,263801,563.47
"MI","Ottawa",32.555656,0.463278,0.769507,7.8,27.6,0.090484,8.6,61429,6705,13376,658.72
"MI","Presque Isle",27.432297,1.153491,0.795895,14,32.3,0.076899,13.6,41658,12196,24449,519.64
"MI","Roscommon",22.006553,1.252348,0.795895,14.4,34.2,0.125235,19.2,38516,96771,200169,800.11
"MI","Saginaw",25.179486,0.564068,0.769507,12.8,38.9,0.07179,18.6,43344,21315,43114,962.57
"MI","Sanilac",6.440747,0.673287,0.769507,10.2,31.3,0.024046,16.7,41861,4200,8485,1171.36
"MI","Schoolcraft",25.516619,1.468608,0.795895,12.6,31.3,0,15.9,36741,34921,70648,530.67
"MI","Shiawassee",16.489449,0.493233,0.769507,11.3,32.4,0.087041,12.4,50807,80724,163040,721.17
"MI","St. Clair",34.100618,0.662177,0.769507,11.2,33,0.074963,12.8,51183,30316,61295,500.59
"MI","St. Joseph",11.640416,0.623503,0.769507,10.8,34.7,0.049224,14.7,46667,27946,55729,803.13
"MI","Tuscola",3.41971,0.407407,0.795895,12.6,32.6,0.074074,15.5,45800,37803,76258,607.47
"MI","Van Buren",5.310026,0.771287,0.769507,11.8,33.5,0.039894,15.7,47806,170132,344791,705.97
"MI","Washtenaw",23.305304,0.815414,0.769507,7.6,24.4,0.137303,14.2,62401,874161,1820584,612.08
"MI","Wayne",13.844508,0.612533,0.769507,12,33.5,0.061197,24.8,41585,16309,32735,565
"MI","Wexford",10.010085,0.851426,0.795895,11.2,30.2,0.212857,14.8,42922,8205,16202,1821.66
"MN","Aitkin",32.351105,1.26815,0.948594,11.5,29.9,0,14.2,43817,165327,330844,423.01
"MN","Anoka",34.289455,0.42707,0.873642,8,30,0.10823,7.1,73276,16314,32504,1315.2
"MN","Becker",33.395036,0.781743,0.948594,8.9,32.6,0.120268,11.3,54304,22184,44442,2504.94
"MN","Beltrami",17.141572,0.700771,0.948594,9.3,30.9,0.131395,16.2,46031,19277,38451,408.3
"MN","Benton",15.85893,0.68344,0.873642,7.9,29.3,0.10125,11.4,52513,2575,5269,499.02
"MN","Big Stone",43.181203,1.365321,0.948594,9.4,28.7,0,11.5,47583,32209,64013,747.84
"MN","Blue Earth",33.873089,0.841172,0.873642,6.8,33.7,0.137646,17.2,49664,12856,25893,611.09
"MN","Brown",26.516966,0.86984,0.873642,8.9,30.1,0.276767,8.3,56330,18413,35386,861.38
"MN","Carlton",26.501871,0.618481,0.948594,9.5,30.1,0.140564,10.8,54945,45236,91042,354.33
"MN","Carver",27.621073,0.462307,0.873642,6.8,23,0.195196,4.5,93857,14603,28567,2021.54
"MN","Cass",11.877832,1.295564,0.948594,10.2,26.5,0,15,47645,6102,12441,581.12
"MN","Chippewa",7.59298,0.660611,0.948594,9.3,29.9,0.082576,11.1,50896,27740,53887,414.86
"MN","Chisago",9.950666,0.481259,0.873642,8.4,29.8,0.07404,6.3,70036,29137,58999,1045.37
"MN","Clay",9.502017,0.342656,0.948594,6.4,28.4,0.065268,12.1,60417,4374,8695,998.94
"MN","Clearwater",37.92276,1.25128,0.948594,10,31,0.113753,14.6,42689,2584,5176,1452.28
"MN","Cook",28.727212,2.484235,0.948594,9.2,28.9,0,11.1,50350,5763,11687,638.61
"MN","Cottonwood",36.407745,0.515774,0.948594,10.2,31.7,0,13.7,49448,31133,62500,999.1
"MN","Crow Wing",6.734017,1.169683,0.873642,10.4,29,0.173872,10.4,50755,195661,398552,562.17
"MN","Dakota",32.943203,0.562385,0.873642,6.9,26.6,0.123628,7.1,77576,10039,20087,439.28
"MN","Dodge",8.961171,0.294797,0.873642,8.3,24.9,0.147398,6.9,65494,18057,36009,637.3
"MN","Douglas",25.799449,1.141615,0.948594,7.6,30,0.108725,8.8,56819,7231,14553,712.48
"MN","Faribault",13.044678,1.056933,0.948594,8.8,27,0.140924,11.3,52169,10370,20866,861.3
"MN","Fillmore",2.182986,1.540239,0.948594,8.5,25.1,0,10.8,52170,15462,31255,707.09
"MN","Freeborn",28.454301,0.77821,0.948594,8,29.9,0.032425,13.4,47418,22927,46183,756.84
"MN","Goodhue",17.61371,0.753937,0.873642,9.8,32.2,0.129246,8.9,60285,2974,6018,548.16
"MN","Grant",44.100497,0.503694,0.948594,9.2,32,0,10.6,50570,566184,1152425,553.59
"MN","Hennepin",26.623162,0.753261,0.873642,6.8,22.8,0.150157,10.9,68902,9437,19027,552.06
"MN","Houston",10.623043,0.907247,0.948594,9.3,25.7,0.053367,8.2,56276,10288,20428,925.68
