"loaccgro","fasfoo","diab","obesrate","fitplace","medinc","loaccgro.1","obesrateLevel","clusterNum"
0.70136899298631,0.0214285678285715,0.212871287128713,0.603351955307263,0,0.331252548395239,0.70136899298631,"low",2
0.676239543237604,0.0282068637743451,0.123762376237624,0.516759776536313,0,0.213142923713182,0.676239543237604,"low",2
0.99999999,0.150470206796238,0.257425742574257,0.779329608938548,0,0.42210162514805,0.99999999,"high",2
1,0.262363317901093,0.123762376237624,0.424581005586592,0,0.486437683241753,1,"low",2
0.993909190060908,0,0.198019801980198,0.558659217877095,0,0.299322369570705,0.993909190060908,"low",2
0.99858100001419,0,0.202970297029703,0.56145251396648,0,0.186649321398753,0.99858100001419,"low",2
0.99999999,0,0.227722772277228,0.544692737430168,0,0.299992233462128,0.99999999,"low",2
0.99999999,0.0129800158961599,0.247524752475248,0.460893854748603,0,0.144273149136943,0.99999999,"low",2
0.650806243491938,0.0415224716678202,0.514851485148515,0.625698324022346,0,0.17117449468963,0.650806243491938,"low",2
0.705372262946277,0.018043127855655,0.54950495049505,0.653631284916201,0,0.0793934333922296,0.705372262946277,"low",2
0.698774303012257,0.0539268475685852,0.366336633663366,0.639664804469274,0,0.349105877327534,0.698774303012257,"low",2
0.883665651163344,0.0719280714245754,0.311881188118812,0.298882681564246,0,0.239219074617013,0.883665651163344,"low",2
0.999434500005655,0.0807174713542602,0.247524752475248,0.282122905027933,0,0.0490262703143506,0.999434500005655,"low",2
0.99999999,0.182002030543984,0.207920792079208,0.223463687150838,0,0.212948760266392,0.99999999,"low",2
0.99999999,0.102710447178316,0.217821782178218,0.215083798882682,0,0.18653282333068,0.99999999,"low",2
0.992428090075719,1,0.168316831683168,0.209497206703911,0,0.199939809331495,0.992428090075719,"low",2
0.758306892416931,0,0.569306930693069,0.508379888268156,0,0.112236180416675,0.758306892416931,"low",2
0.967783390322166,0.00608263195133894,0.153465346534653,0.432960893854749,0,0.176416907752946,0.967783390322166,"low",2
0.740010682599893,0.0464216396286269,0.688118811881188,0.502793296089385,0,0.0295808011183815,0.740010682599893,"low",2
0.696661233033388,0.0235833838113329,0.420792079207921,0.46927374301676,0,0.173174378191562,0.696661233033388,"low",2
0.6828300131717,0.0425280236597758,0.638613861386139,0.547486033519553,0,0.0588121080325418,0.6828300131717,"low",2
0.754674912453251,0.0717744234258046,0.306930693069307,0.589385474860335,0,0.315777721686115,0.754674912453251,"low",2
0.637257153627429,0.137162950902696,0.311881188118812,0.29608938547486,0.178195163235924,0.289633613575908,0.637257153627429,"low",2
0.99999998,0.138594814891241,0.301980198019802,0.388268156424581,0,0.226287789060831,0.99999998,"low",2
1,0.0830450153356399,0.257425742574257,0.547486033519553,0,0.167019396928334,1,"low",2
0.974276290257237,0.0541760395665917,0.247524752475248,0.572625698324022,0,0.22594800302895,0.974276290257237,"low",2
0.752304952476951,0.0680400714556794,0.371287128712871,0.463687150837989,0,0.173999572840417,0.752304952476951,"low",2
0.93743604062564,0.0802377353580981,0.425742574257426,0.460893854748603,0,0.252577519756131,0.93743604062564,"low",2
0.99999999,0.10074628719403,0.420792079207921,0.541899441340782,0,0.266955322990894,0.99999999,"low",2
0.993570100064299,0.160356310717149,0.450495049504951,0.578212290502793,0,0.157786925033493,0.993570100064299,"low",2
0.99999999,0,0.366336633663366,0.581005586592179,0,0.211376036347397,0.99999999,"low",2
0.99999999,0.0553207675574339,0.277227722772277,0.706703910614525,0,0.26369337708483,0.99999999,"high",2
0.99999999,0.0876765592985875,0.321782178217822,0.61731843575419,0,0.353979379841951,0.99999999,"low",2
0.99999999,0.0551724475586204,0.321782178217822,0.472067039106145,0,0.351824165582587,0.99999999,"low",2
0.996543380034566,0.0286510317707917,0.346534653465347,0.58659217877095,0,0.228015843737258,0.996543380034566,"low",2
0.715845462841545,0.0942716872458265,0.301980198019802,0.505586592178771,0.199017957897194,0.190251053336699,0.715845462841545,"low",2
0.99999999,0,0.415841584158416,0.594972067039106,0,0.247869056171485,0.99999999,"low",2
0.99999999,0.0992646712058826,0.371287128712871,0.491620111731844,0,0.291468458148069,0.99999999,"low",2
0.706778382932216,0,0.514851485148515,0.636871508379888,0,0.166330116692232,0.706778382932216,"low",2
0.72687100273129,0.097406999220744,0.316831683168317,0.446927374301676,0,0.31698153505621,0.72687100273129,"low",2
0.633804703661953,0.0688116954495064,0.316831683168317,0.5,0,0.32032114634099,0.633804703661953,"low",2
0.991923620080764,0.0712342074301263,0.267326732673267,0.58659217877095,0,0.284934858163602,0.991923620080764,"low",2
0.995134920048651,0.127546486979628,0.405940594059406,0.578212290502793,0.26926509786373,0.193687746344873,0.995134920048651,"low",2
0.99768103002319,0.0774401753804786,0.405940594059406,0.603351955307263,0.326969191408226,0.197561307108324,0.99768103002319,"low",2
0.822495251775048,0.0329519517363844,0.400990099009901,0.516759776536313,0,0.145205133681533,0.822495251775048,"low",2
0.99999999,0.0615911035072712,0.297029702970297,0.368715083798883,0,0.228180882667029,0.99999999,"low",2
0.714015722859843,0.0732948474136412,0.237623762376238,0.402234636871508,0.206311529631503,0.168786284294119,0.714015722859843,"low",2
0.99999999,0,0.316831683168317,0.35195530726257,0,0.145515795196396,0.99999999,"low",2
0.99999999,0.194279542445764,0.277227722772277,0.337988826815642,0,0.179572063763276,0.99999999,"low",2
0.99999999,0.148453630812371,0.306930693069307,0.357541899441341,0,0.194406151097994,0.99999999,"low",2
0.99999999,0.125435518996516,0.331683168316832,0.402234636871508,0,0.187299768945498,0.99999999,"low",2
